,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,건물명
0,베트남쌀국수퍼짱,,음식,동남아시아,베트남식 전문,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 732,세종특별자치시 세종특별자치시 한누리대로,모닝시티2
1,책통클럽읽기훈련센타,,교육,기타 교육,그 외 기타 교육기관,그 외 기타 분류 안된 교육기관,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로,해피라움W
2,더함인테리어컨설팅,,과학·기술,전문 디자인,인테리어 디자인업,인테리어 디자인업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 637-3,세종특별자치시 세종특별자치시 연서면 당산로,
3,모더니엘살롱,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 764,세종특별자치시 세종특별자치시 한누리대로,갤러리밸류시티
4,카이젠교육,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 760,세종특별자치시 세종특별자치시 남세종로,보람빌딩
5,가재세탁,,수리·개인,세탁,세탁소,가정용 세탁업,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 679,세종특별자치시 세종특별자치시 도움3로,가재마을3단지
6,세종유도관,,교육,기타 교육,태권도/무술학원,태권도 및 무술 교육기관,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 757,세종특별자치시 세종특별자치시 남세종로,위너스타워
7,세종마취과,,보건의료,의원,기타 의원,일반의원,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 119-12,세종특별자치시 세종특별자치시 조치원읍 새내1길,
8,위스콘신이케이어학원,,교육,기타 교육,외국어학원,외국어학원,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1344,세종특별자치시 세종특별자치시 달빛1로,
9,세종종합법률사무소,,과학·기술,법무관련 ,변호사,변호사업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로,퍼스트원
10,천지연가든,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 성제리 586-14,세종특별자치시 세종특별자치시 연서면 월하천로,
11,엄마손김밥,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로,에스알파크원
12,아르드뽀에스테틱,,수리·개인,이용·미용,피부 관리실,피부 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 750,세종특별자치시 세종특별자치시 한누리대로,세종마루
13,목향재,,숙박,일반 숙박,여관/모텔,여관업,세종특별자치시,세종특별자치시,고운동,고운동,세종특별자치시 세종특별자치시 고운동 1754,세종특별자치시 세종특별자치시 만남로6길,
14,아름다운기획,,과학·기술,광고,광고물 설계/제작업,"광고물 문안, 도안, 설계 등 작성업",세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 도계리 19-5,세종특별자치시 세종특별자치시 장군면 풍덕골길,
15,스튜디오에프피,,과학·기술,전문 디자인,패션/섬유/기타 전문 디자인업,"패션, 섬유류 및 기타 전문 디자인업",세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로,에비뉴힐
16,머슬케어필라테스,,교육,기타 교육,요가/필라테스 학원,기타 스포츠 교육기관,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 788,세종특별자치시 세종특별자치시 나성북1로,메가타워2
17,쿠헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 34-1,세종특별자치시 세종특별자치시 조치원읍 새내8길,
18,올진스시,,음식,일식,일식 회/초밥,일식 음식점업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 539,세종특별자치시 세종특별자치시 한누리대로,KT&G세종타워A
19,부동산땅집go공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 1-23,세종특별자치시 세종특별자치시 조치원읍 신흥샛터길,
20,뷰티호텔,,수리·개인,이용·미용,피부 관리실,피부 미용업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길,세종시아카데미타워
21,딥핑크,,소매,종합 소매,그 외 기타 종합 소매업,그 외 기타 종합 소매업,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 584,세종특별자치시 세종특별자치시 새롬중앙로,행운빌딩
22,로엘라,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 1-22,세종특별자치시 세종특별자치시 조치원읍 조치원7길,
23,다카렌터카,,시설관리·임대,운송장비 대여,자동차 대여업,자동차 임대업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 대교리 135-3,세종특별자치시 세종특별자치시 장군면 대교길,
24,세종드럼뮤직학원,,교육,기타 교육,음악학원,음악학원,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 48-2,세종특별자치시 세종특별자치시 조치원읍 충현로,
25,혜성주얼리,,소매,시계·귀금속 소매,시계/귀금속 소매업,시계 및 귀금속 소매업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로,도램마을11단지
26,미요가.필라테스,,교육,기타 교육,요가/필라테스 학원,기타 스포츠 교육기관,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로,해피라움W
27,경진상사,,수리·개인,기타 가정용품 수리,의류/이불 수선업,의복 및 기타 가정용 직물제품 수리업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 520,세종특별자치시 세종특별자치시 다솜1로,한뜰마을4단지
28,띵까띵까노래연습장,,예술·스포츠,유원지·오락,노래방,노래 연습장 운영업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 657,세종특별자치시 세종특별자치시 한누리대로,도담센트럴프라자
29,브라운힐스커피숍,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 933,세종특별자치시 세종특별자치시 노을3로,브라운스84
30,서울다방,,음식,비알코올 ,카페,기타 비알코올 음료점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 상리 136,세종특별자치시 세종특별자치시 조치원읍 장안로,
31,세종에어컨청소세탁기청소안심클린,,수리·개인,가전제품 수리,가전제품 수리업,가전제품 수리업,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 갈산리 226,세종특별자치시 세종특별자치시 부강면 갈산길,
32,큰맘할매순대국,,음식,한식,국/탕/찌개류,한식 일반 음식점업,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 933,세종특별자치시 세종특별자치시 다정중앙로,페스티발2
33,리아필라테스,,교육,기타 교육,요가/필라테스 학원,기타 스포츠 교육기관,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 755,세종특별자치시 세종특별자치시 호려울로,네이버타워
34,인성세무회계사무소,,과학·기술,회계·세무,공인회계사,공인회계사업,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로,스마트허브Ⅰ
35,세종하이엔드학원,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 746,세종특별자치시 세종특별자치시 한누리대로,에스제이타워
36,모던제이,,소매,섬유·의복·신발 소매,가방 소매업,가방 및 기타 가죽제품 소매업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 서정리 102,세종특별자치시 세종특별자치시 전의면 내서길,
37,캐치업세종,,소매,의약·화장품 소매,화장품 소매업,"화장품, 비누 및 방향제 소매업",세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 795,세종특별자치시 세종특별자치시 나성로,스타타워
38,세종김연수피부과의원,,보건의료,의원,피부/비뇨기과 의원,일반의원,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 578,세종특별자치시 세종특별자치시 새롬중앙로,세종영광프라자
39,세종에코아이스링크,,예술·스포츠,스포츠 서비스,테니스장,그 외 기타 스포츠시설 운영업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 785,세종특별자치시 세종특별자치시 나성로,트리플렉스
40,지코바치킨도담,,음식,기타 간이,치킨,치킨 전문점,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 633,세종특별자치시 세종특별자치시 보람로,도램마을20단지
41,카란,,음식,일식,일식 회/초밥,일식 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 263,세종특별자치시 세종특별자치시,나릿재마을2단지
42,허씨네맛집,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 번암리 110-1,세종특별자치시 세종특별자치시 조치원읍 허만석로,
43,하이솔헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 938,세종특별자치시 세종특별자치시 다정중앙로,리치타워
44,가온약국,,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 945,세종특별자치시 세종특별자치시 다정중앙로,다정센타프라자
45,언어의창,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,소담동,소담동,세종특별자치시 세종특별자치시 소담동 543,세종특별자치시 세종특별자치시 한누리대로,사이언스타운
46,부강루,,음식,중식,중국집,중식 음식점업,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 453-1,세종특별자치시 세종특별자치시 부강면 부강2길,
47,욜라에땅어린이아뜰리에,,소매,오락용품 소매,서점,"서적, 신문 및 잡지류 소매업",세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 585,세종특별자치시 세종특별자치시 새롬중앙로,에스월드빌딩
48,달토끼의떡볶이흡입구역,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길,세종시아카데미타워
49,오월식당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 읍내리 102-19,세종특별자치시 세종특별자치시 전의면 운주산로,
50,행복Q세탁,,수리·개인,세탁,세탁소,가정용 세탁업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 257-14,세종특별자치시 세종특별자치시 조치원읍 행복4길,
51,파랑기획,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,경 인쇄업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 평기리 265-25,세종특별자치시 세종특별자치시 장군면 평기길,
52,피에이치비,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 657,세종특별자치시 세종특별자치시 가름로,세종비지니스센터
53,우창참대구찜해물찜,,음식,한식,해산물 구이/찜,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 102-16,세종특별자치시 세종특별자치시 조치원읍 새내7길,
54,디펜스,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 275-9,세종특별자치시 세종특별자치시 조치원읍 문화길,
55,에떼르넬,,수리·개인,이용·미용,네일숍,기타 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 727,세종특별자치시 세종특별자치시 한누리대로,SR파크센텀
56,하나조경,,시설관리·임대,조경·유지,조경 유지·관리 서비스업,조경관리 및 유지 서비스업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 47-6,세종특별자치시 세종특별자치시 조치원읍 으뜸길,보훈회관
57,도담,,수리·개인,욕탕·신체관리,마사지/안마,마사지업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 668,세종특별자치시 세종특별자치시 보듬3로,
58,바른치킨세종,,음식,기타 간이,치킨,한식 일반 음식점업,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 683,세종특별자치시 세종특별자치시 달빛1로,가재마을2단지
59,송건축사사무소,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 416,세종특별자치시 세종특별자치시 조치원읍 군청로,
60,세종로컬쉼터공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 봉산리 304-4,세종특별자치시 세종특별자치시 조치원읍 봉산로,
61,손정헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 206,세종특별자치시 세종특별자치시 나성로,세종가로수길
62,대소해장국,,음식,한식,국/탕/찌개류,한식 일반 음식점업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 218,세종특별자치시 세종특별자치시 연서면 봉암길,
63,나이스가이,,수리·개인,이용·미용,미용실,이용업,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 585,세종특별자치시 세종특별자치시 새롬중앙로,에스월드빌딩
64,세종프라임치과,,보건의료,의원,치과의원,치과의원,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 530,세종특별자치시 세종특별자치시 한누리대로,세종포스트빌딩
65,두마리찜닭두찜세종,,음식,한식,닭/오리고기 구이/찜,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 269-4,세종특별자치시 세종특별자치시 조치원읍 행복2길,
66,바이크원오원,,소매,오락용품 소매,자전거 소매업,자전거 및 기타 운송장비 소매업,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 929,세종특별자치시 세종특별자치시 노을3로,세종타워
67,씨유세종나사스크린골프점,,소매,종합 소매,편의점,체인화 편의점,세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 308,세종특별자치시 세종특별자치시 국책연구원2로,알파타워
68,앤서니협동조합,,소매,종합 소매,슈퍼마켓,"빵류, 과자류 및 당류 소매업",세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로,에비뉴힐
69,한국미래융합교육원,,교육,교육 지원,교육컨설팅업,교육관련 자문 및 평가업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 694,세종특별자치시 세종특별자치시 한누리대로,알파메디컬센터
70,우리끼리키즈카페우주마을,,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,그 외 기타 스포츠시설 운영업,세종특별자치시,세종특별자치시,고운동,고운동,세종특별자치시 세종특별자치시 고운동 1719,세종특별자치시 세종특별자치시 마음로,그랜드프라자
71,지성종합개발,,시설관리·임대,고용 알선,고용 알선업,고용 알선업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 379-17,세종특별자치시 세종특별자치시 조치원읍 충현로,
72,서울클라리넷아카데미,,교육,기타 교육,음악학원,음악학원,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 944,세종특별자치시 세종특별자치시 다정중앙로,페스티발1
73,자담치킨,,음식,기타 간이,치킨,치킨 전문점,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 1061,세종특별자치시 세종특별자치시 누리1로,
74,리스타일헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1292,세종특별자치시 세종특별자치시 보듬3로,해피라움2
75,코리아세븐세종어진,,소매,종합 소매,편의점,체인화 편의점,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 648,세종특별자치시 세종특별자치시 가름로,세종시2차푸르지오시티
76,아벨,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 25-1,세종특별자치시 세종특별자치시 조치원읍 새내로,
77,가배나루,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,반곡동,집현동,세종특별자치시 세종특별자치시 집현동 ,세종특별자치시 세종특별자치시 집현서로,새나루마을3단지
78,부자상사,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 190-9,세종특별자치시 세종특별자치시 금남면 대평시장2길,
79,수작고대점,,음식,주점,요리 주점,기타 주점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 177-4,세종특별자치시 세종특별자치시 조치원읍 내창1길,
80,세종해들공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 봉안리 328-3,세종특별자치시 세종특별자치시 장군면 장척로,
81,가비향,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,전동면,전동면,세종특별자치시 세종특별자치시 전동면 청송리 3-6,세종특별자치시 세종특별자치시 전동면 배일길,뒤웅박고을
82,또래오래세종,,음식,기타 간이,치킨,치킨 전문점,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 644,세종특별자치시 세종특별자치시 달빛1로,가재마을6단지
83,설악추어탕,,음식,한식,국/탕/찌개류,한식 일반 음식점업,세종특별자치시,세종특별자치시,소담동,소담동,세종특별자치시 세종특별자치시 소담동 557,세종특별자치시 세종특별자치시 법원2로,거북선1
84,세종원행정사사무소,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 768,세종특별자치시 세종특별자치시 한누리대로,르네상스
85,소소한정육점,,소매,식료품 소매,정육점,육류 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 275-3,세종특별자치시 세종특별자치시 조치원읍 서북부로,
86,몬스터합기도,,교육,기타 교육,태권도/무술학원,태권도 및 무술 교육기관,세종특별자치시,세종특별자치시,고운동,고운동,세종특별자치시 세종특별자치시 고운동 1376,세종특별자치시 세종특별자치시 마음로,테라스힐빌딩
87,로고스수학교습소,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 784,세종특별자치시 세종특별자치시 남세종로,호려울마을4단지
88,메타국어교습소,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 755,세종특별자치시 세종특별자치시 호려울로,네이버타워
89,세종김밥&꼬마김밥,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,고운동,고운동,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로,가락마을18단지
90,안다미로,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 398-3,세종특별자치시 세종특별자치시 조치원읍 섭골길,
91,황제명태본가,,음식,한식,해산물 구이/찜,한식 일반 음식점업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 665,세종특별자치시 세종특별자치시 시청대로,시드니힐
92,맘스터치세종나성점,,음식,기타 간이,버거,치킨 전문점,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로,퍼스트원
93,목화다방,,음식,비알코올 ,카페,기타 비알코올 음료점업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 도계리 154-26,세종특별자치시 세종특별자치시 장군면 장척로,장군식당
94,알파문구카피,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 308,세종특별자치시 세종특별자치시 국책연구원2로,알파타워
95,세계산업,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,간판 및 광고물 제조업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 245-6,세종특별자치시 세종특별자치시 조치원읍 충현로,
96,우리동네출장세차,,수리·개인,자동차 수리·세차,자동차 세차장,자동차 세차업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 봉안리 439-8,세종특별자치시 세종특별자치시 장군면 장척로,
97,충효체육관,,교육,기타 교육,레크리에이션 교육기관,레크리에이션 교육기관,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 938,세종특별자치시 세종특별자치시 다정중앙로,리치타워
98,세익메디칼,,소매,의약·화장품 소매,의료기기 소매업,의료용 기구 소매업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 792,세종특별자치시 세종특별자치시 나성로,세종엔에스타워1
99,혼밥마루,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 656,세종특별자치시 세종특별자치시 한누리대로,까사리움
100,모닝글로리세종,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 49-13,세종특별자치시 세종특별자치시 한누리대로,
101,국본갈비,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 391,세종특별자치시 세종특별자치시 조치원읍 섭골길,
102,나나투어,,시설관리·임대,여행사·보조,여행사,여행사업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 상리 96,세종특별자치시 세종특별자치시 조치원읍 터미널안길,세종고용복지플러스센터
103,네일더빛날,,수리·개인,이용·미용,네일숍,기타 미용업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1309,세종특별자치시 세종특별자치시 세종로,
104,세븐모텔,,숙박,일반 숙박,여관/모텔,여관업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 월하리 531-2,세종특별자치시 세종특별자치시 연서면 당산로,
105,플라이하이스터디카페,,예술·스포츠,도서관·사적지,독서실/스터디 카페,독서실 운영업,세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 45-14,세종특별자치시 세종특별자치시 한누리대로,시드니블루
106,우리끼리키즈카페숲속마을,,예술·스포츠,유원지·오락,기타 오락장,기타 오락장 운영업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1332,세종특별자치시 세종특별자치시 아름서1길,영토빌딩
107,정희책방,,소매,오락용품 소매,서점,"서적, 신문 및 잡지류 소매업",세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 439-7,세종특별자치시 세종특별자치시 부강면 부강로,
108,청룡자동차정비,,수리·개인,자동차 수리·세차,자동차 정비소,자동차 종합 수리업,세종특별자치시,세종특별자치시,소정면,소정면,세종특별자치시 세종특별자치시 소정면 운당리 76-4,세종특별자치시 세종특별자치시 소정면 차령고개로,
109,아소비세종새롬학원,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로,해피라움W
110,하늘소아청소년과의원,,보건의료,의원,내과/소아과 의원,일반의원,세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 49-14,세종특별자치시 세종특별자치시 한누리대로,왕관빌딩
111,무진부동산중개사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 45-4,세종특별자치시 세종특별자치시 조치원읍 신흥샛터길,
112,아부찌,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 398,세종특별자치시 세종특별자치시 조치원읍 도원1로,푸르지오1차
113,예린인테리어,,과학·기술,전문 디자인,인테리어 디자인업,"도배, 실내 장식 및 내장 목공사업",세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 문곡리 849-12,세종특별자치시 세종특별자치시 부강면 문곡자창이길,
114,엘지인테리어필름,,소매,철물·건설자재 소매,벽지/장판/마루 소매업,"벽지, 마루덮개 및 장판류 소매업",세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 신촌리 113-1,세종특별자치시 세종특별자치시 금남면 금남구즉로,
115,윤즈샵,,수리·개인,이용·미용,네일숍,기타 미용업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 699,세종특별자치시 세종특별자치시 한누리대로,판타지타워
