,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,건물명
6724,맛나부강점,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 414-1,세종특별자치시 세종특별자치시 부강면 부촌길,
6725,좋은아침페이스트리&식빵,,음식,기타 간이,빵/도넛,제과점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 737,세종특별자치시 세종특별자치시 한누리대로,포레뷰2차
6726,스트라이크존,,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,그 외 기타 스포츠시설 운영업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 673,세종특별자치시 세종특별자치시 보듬3로,다옴프라자
6727,새롬삼겹살,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 597,세종특별자치시 세종특별자치시 새롬북로,새뜸마을3단지
6728,모시울,,음식,비알코올 ,카페,기타 비알코올 음료점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 400,세종특별자치시 세종특별자치시 조치원읍 장안로,
6729,착한양꼬치,,음식,중식,중국집,중식 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 259-8,세종특별자치시 세종특별자치시 조치원읍 행복12길,
6730,쉬즈베이글,,음식,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 660,세종특별자치시 세종특별자치시 보듬3로,세종한신휴시티
6731,김창숙,,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 4-14,세종특별자치시 세종특별자치시 조치원읍 조치원로,
6732,다정포차,,음식,주점,요리 주점,기타 주점업,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 933,세종특별자치시 세종특별자치시 다정중앙로,페스티발2
6733,즐거운디자인세상,,과학·기술,광고,광고 대행업,광고 대행업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 54-52,세종특별자치시 세종특별자치시 연서면 당산로,
6734,저림숙성그릴,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 675,세종특별자치시 세종특별자치시 보듬3로,새한빌딩
6735,홍구등갈비,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,고운동,고운동,세종특별자치시 세종특별자치시 고운동 1717,세종특별자치시 세종특별자치시 고운서길,세종스마트큐브Ⅰ
6736,바늘사랑,,수리·개인,기타 가정용품 수리,의류/이불 수선업,의복 및 기타 가정용 직물제품 수리업,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 439-13,세종특별자치시 세종특별자치시 부강면 부강4길,
6737,어진밥상,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 669,세종특별자치시 세종특별자치시 갈매로,세종파이낸스센터
6738,홍실,,교육,기타 교육,그 외 기타 교육기관,그 외 기타 분류 안된 교육기관,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 감성리 129-13,세종특별자치시 세종특별자치시 금남면 안금로,
6739,세교디앤씨,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 686,세종특별자치시 세종특별자치시 한누리대로,뱅크빌딩
6740,현대식당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,소정면,소정면,세종특별자치시 세종특별자치시 소정면 대곡리 317,세종특별자치시 세종특별자치시 소정면 학수소사길,
6741,마을회관,,소매,식료품 소매,정육점,육류 소매업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1361,세종특별자치시 세종특별자치시 보듬3로,해피라움4
6742,드레스,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 593,세종특별자치시 세종특별자치시 새롬중앙1로,새뜸마을6단지
6743,상록회계법인,,과학·기술,회계·세무,공인회계사,공인회계사업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로,퍼스트원
6744,낙원장여관,,숙박,일반 숙박,여관/모텔,여관업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 64-2,세종특별자치시 세종특별자치시 조치원읍 새내8길,
6745,세종부동산채널공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 767,세종특별자치시 세종특별자치시 국세청로,갤러리세종프라자
6746,지성개발용역,,시설관리·임대,고용 알선,임시/일용 인력 공급업,임시 및 일용 인력 공급업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 379-17,세종특별자치시 세종특별자치시 조치원읍 충현로,
6747,돈불낙&콩나물국밥,,음식,한식,국/탕/찌개류,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 331-14,세종특별자치시 세종특별자치시 조치원읍 허만석로,
6748,메가시티공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 672,세종특별자치시 세종특별자치시 도움1로,메가시티
6749,플스세종,,소매,오락용품 소매,장난감 소매업,"게임용구, 인형 및 장난감 소매업",세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 672,세종특별자치시 세종특별자치시 도움1로,메가시티
6750,타임비어,,음식,주점,생맥주 전문,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 270-5,세종특별자치시 세종특별자치시 조치원읍 행복길,
6751,윤우,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로,에스알파크원
6752,오늘,,수리·개인,욕탕·신체관리,체형/비만 관리,체형 등 기타 신체 관리 서비스업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 796,세종특별자치시 세종특별자치시 나성로,조이타워
6753,애니웨이스터디카페,,예술·스포츠,도서관·사적지,독서실/스터디 카페,그 외 기타 달리 분류되지 않은 개인 서비스업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 657,세종특별자치시 세종특별자치시 한누리대로,도담센트럴프라자
6754,세종창의인성교육원,,교육,기타 교육,직원 훈련기관,직원 훈련기관,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 656,세종특별자치시 세종특별자치시 한누리대로,까사리움
6755,스파르타수학학원,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 658,세종특별자치시 세종특별자치시 도움3로,메디케어빌딩
6756,꼭새,,수리·개인,기타 개인,결혼 상담 서비스업,결혼 상담 및 준비 서비스업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 291-9,세종특별자치시 세종특별자치시 조치원읍 돌마루7길,사랑마을
6757,"오,유미당세종정부",,음식,서양식,경양식,서양식 음식점업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 547,세종특별자치시 세종특별자치시 절재로,중앙타운
6758,봉봉피자.치킨,,음식,기타 간이,치킨,"피자, 햄버거, 샌드위치 및 유사 음식점업",세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 984,세종특별자치시 세종특별자치시 누리로,첫마을6단지
6759,디자인공공,,과학·기술,전문 디자인,시각 디자인업,시각 디자인업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로,에스알파크원
6760,최고당돈가스,,음식,일식,일식 카레/돈가스/덮밥,서양식 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 716,세종특별자치시 세종특별자치시 한누리대로,참미르빌딩
6761,맘스터치세종아름점,,음식,기타 간이,버거,"피자, 햄버거, 샌드위치 및 유사 음식점업",세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1295,세종특별자치시 세종특별자치시 보듬3로,해피라움1
6762,공주밤빵커피스토리,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 547,세종특별자치시 세종특별자치시 절재로,중앙타운
6763,곤지암소머리국밥,,음식,한식,국/탕/찌개류,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 448,세종특별자치시 세종특별자치시 조치원읍 조치원4길,
6764,7번가피자세종새롬점,,음식,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 590,세종특별자치시 세종특별자치시 새롬중앙로,무지개타워
6765,대복원양꼬치,,음식,중식,중국집,중식 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 795,세종특별자치시 세종특별자치시 나성로,스타타워
6766,페페,,교육,교육 지원,기타 교육지원 서비스업,기타 교육지원 서비스업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 234-39,세종특별자치시 세종특별자치시 연서면 봉암길,신청사마을빌라
6767,서바이오,,소매,의약·화장품 소매,화장품 소매업,"화장품, 비누 및 방향제 소매업",세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1317,세종특별자치시 세종특별자치시 보듬3로,아름행복타워
